ANNIE Lat,ANNIE Long,LEAH Lat,LEAH Long,MELANY Lat,MELANY Long,MONIQUE Lat,MONIQUE Long,prOphecy Lat,prOphecy Long
49.27857,-123.09989,49.27866,-123.09995,49.2787,-123.0999,49.27854,-123.09985,49.27863,-123.0989
49.27857,-123.09991,49.27866,-123.09996,49.27869,-123.09991,49.27852,-123.09987,49.27863,-123.09888
49.27857,-123.09993,49.27867,-123.09996,49.27868,-123.09992,49.2785,-123.09987,49.27863,-123.09884
49.27858,-123.09995,49.27867,-123.09997,49.27867,-123.09994,49.27849,-123.09987,49.27864,-123.09883
49.27859,-123.09996,49.27868,-123.09997,49.27867,-123.09995,49.27848,-123.09988,49.27864,-123.09881
49.2786,-123.09998,49.27868,-123.09998,49.27867,-123.09995,49.27847,-123.09989,49.27864,-123.09879
49.27861,-123.09997,49.27868,-123.09999,49.27867,-123.09994,49.27846,-123.09991,49.27864,-123.09877
49.27862,-123.09998,49.27868,-123.1,49.27865,-123.09992,49.27845,-123.09992,49.27862,-123.09875
49.27862,-123.09998,49.27868,-123.10001,49.27865,-123.09992,49.27844,-123.09992,49.27862,-123.09874
49.27864,-123.09998,49.27868,-123.10002,49.27866,-123.09992,49.27843,-123.09993,49.27861,-123.09873
49.27864,-123.09998,49.27869,-123.10004,49.27866,-123.09992,49.27841,-123.09993,49.27862,-123.09871
49.27865,-123.09999,49.2787,-123.10006,49.27865,-123.09991,49.2784,-123.09996,49.27862,-123.09868
49.27867,-123.09998,49.2787,-123.10008,49.27865,-123.0999,49.27838,-123.09997,49.27862,-123.09866
49.27868,-123.09997,49.27871,-123.1001,49.27865,-123.09991,49.27836,-123.09999,49.27863,-123.09864
49.2787,-123.09998,49.27871,-123.10012,49.27865,-123.0999,49.27834,-123.1,49.27862,-123.09862
49.27871,-123.09998,49.27871,-123.10014,49.27865,-123.0999,49.27832,-123.10001,49.27862,-123.09861
49.27871,-123.09997,49.27871,-123.10016,49.27865,-123.0999,49.27829,-123.10001,49.27862,-123.09858
49.27871,-123.09997,49.27871,-123.10018,49.27865,-123.0999,49.27825,-123.10002,49.27862,-123.09856
49.27871,-123.09997,49.27871,-123.10021,49.27866,-123.09991,49.27822,-123.10004,49.27862,-123.09854
49.27873,-123.09997,49.27871,-123.10023,49.27867,-123.09991,49.27819,-123.10004,49.27862,-123.09851
49.27874,-123.09997,49.27871,-123.10026,49.27868,-123.09991,49.27817,-123.10002,49.27861,-123.0985
49.27874,-123.09996,49.2787,-123.10028,49.27869,-123.09992,49.27815,-123.10002,49.27861,-123.09848
49.27874,-123.09996,49.2787,-123.10031,49.27871,-123.09991,49.27813,-123.10001,49.27861,-123.09846
49.27876,-123.09995,49.2787,-123.10033,49.27872,-123.09991,49.27811,-123.10001,49.2786,-123.09844
49.27878,-123.09995,49.2787,-123.10035,49.27874,-123.0999,49.2781,-123.10001,49.2786,-123.09842
49.2788,-123.09995,49.2787,-123.10037,49.27877,-123.09989,49.27808,-123.1,49.2786,-123.0984
49.27881,-123.09994,49.27871,-123.10039,49.27878,-123.09989,49.27807,-123.1,49.27859,-123.0984
49.27882,-123.09993,49.27871,-123.10041,49.27879,-123.09988,49.27805,-123.1,49.27858,-123.09838
49.27883,-123.09993,49.27871,-123.10042,49.2788,-123.09988,49.27803,-123.10001,49.27857,-123.09837
49.27884,-123.09992,49.27871,-123.10045,49.27882,-123.09987,49.27802,-123.10002,49.27856,-123.09836
49.27884,-123.09992,49.2787,-123.10047,49.27884,-123.09987,49.278,-123.10001,49.27856,-123.09836
49.27885,-123.09991,49.2787,-123.10049,49.27885,-123.09986,49.27798,-123.1,49.27854,-123.09833
49.27886,-123.0999,49.2787,-123.10051,49.27887,-123.09986,49.27797,-123.1,49.27854,-123.09831
49.27887,-123.0999,49.2787,-123.10053,49.27887,-123.09986,49.27795,-123.1,49.27854,-123.09828
49.27889,-123.0999,49.27871,-123.10055,49.27887,-123.09985,49.27793,-123.1,49.27852,-123.09827
49.2789,-123.09991,49.27871,-123.10057,49.27888,-123.09985,49.27792,-123.1,49.27852,-123.09826
49.27891,-123.0999,49.27872,-123.10059,49.27888,-123.09985,49.2779,-123.10001,49.27852,-123.09824
49.27893,-123.0999,49.27872,-123.1006,49.27889,-123.09985,49.2779,-123.10002,49.27852,-123.09821
49.27895,-123.0999,49.27871,-123.1006,49.2789,-123.09986,49.27789,-123.10003,49.27852,-123.09817
49.27896,-123.0999,49.27869,-123.1006,49.27891,-123.09985,49.27788,-123.10004,49.27851,-123.09815
49.27898,-123.0999,49.27869,-123.10061,49.27893,-123.09985,49.27787,-123.10005,49.27851,-123.09813
49.279,-123.0999,49.27868,-123.10063,49.27894,-123.09985,49.27786,-123.10005,49.2785,-123.09811
49.27901,-123.0999,49.27867,-123.10064,49.27895,-123.09984,49.27784,-123.10006,49.2785,-123.09809
49.27902,-123.0999,49.27866,-123.10069,49.27896,-123.09984,49.27783,-123.10006,49.27851,-123.09807
49.27903,-123.09989,49.27866,-123.10071,49.27898,-123.09985,49.27782,-123.10006,49.27852,-123.09806
49.27905,-123.09988,49.27866,-123.10073,49.27898,-123.09983,49.27781,-123.10006,49.27851,-123.09804
49.27906,-123.09987,49.27866,-123.10075,49.279,-123.09983,49.27779,-123.10006,49.27853,-123.09801
49.27908,-123.09987,49.27866,-123.10077,49.27901,-123.09983,49.27778,-123.10006,49.27854,-123.09798
49.27909,-123.09987,49.27865,-123.10079,49.27902,-123.09984,49.27776,-123.10006,49.27855,-123.09796
49.27911,-123.09987,49.27866,-123.10081,49.27903,-123.09984,49.27775,-123.10005,49.27857,-123.09794
49.27912,-123.09987,49.27866,-123.10083,49.27904,-123.09982,49.27775,-123.10005,49.27857,-123.09793
49.27913,-123.09987,49.27866,-123.10086,49.27904,-123.09983,49.27775,-123.10005,49.27857,-123.09792
49.27914,-123.09987,49.27866,-123.10088,49.27905,-123.09984,49.27774,-123.10005,49.27857,-123.0979
